INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../../matmul-tb.cpp in debug mode
   Generating csim.exe
Last signal: 1
-9.41373e+07 6.45608e+07
-9.50016e+07 6.53013e+07
-9.58699e+07 6.60459e+07
-9.6742e+07 6.67946e+07
-9.7618e+07 6.75475e+07
-9.84979e+07 6.83045e+07
-9.93818e+07 6.90658e+07
-1.0027e+08 6.98311e+07
-1.01161e+08 7.06007e+07
-1.02057e+08 7.13744e+07
-1.02956e+08 7.21522e+07
-1.0386e+08 7.29343e+07
-1.04767e+08 7.37204e+07
-1.05678e+08 7.45107e+07
-1.06593e+08 7.53053e+07
-1.07512e+08 7.61039e+07
-1.08435e+08 7.69067e+07
-1.09362e+08 7.77137e+07
-1.10292e+08 7.85249e+07
-1.11227e+08 7.93401e+07
-1.12165e+08 8.01596e+07
-1.13108e+08 8.09832e+07
-1.14054e+08 8.1811e+07
-1.15004e+08 8.26429e+07
-1.15958e+08 8.3479e+07
-1.16917e+08 8.43192e+07
-1.17878e+08 8.51637e+07
-1.18844e+08 8.60123e+07
-1.19814e+08 8.6865e+07
-1.20788e+08 8.77219e+07
-1.21765e+08 8.8583e+07
-1.22747e+08 8.94482e+07
-1.23732e+08 9.03175e+07
-1.24721e+08 9.11911e+07
-1.25714e+08 9.20688e+07
-1.26711e+08 9.29506e+07
-1.27712e+08 9.38366e+07
-1.28717e+08 9.47268e+07
-1.29726e+08 9.56212e+07
-1.30739e+08 9.65197e+07
-1.31755e+08 9.74223e+07
-1.32776e+08 9.83291e+07
-1.338e+08 9.92401e+07
-1.34828e+08 1.00155e+08
-1.35861e+08 1.01075e+08
-1.36897e+08 1.01998e+08
-1.37937e+08 1.02926e+08
-1.38981e+08 1.03857e+08
-1.40028e+08 1.04793e+08
-1.4108e+08 1.05733e+08
-1.42136e+08 1.06678e+08
-1.43195e+08 1.07626e+08
-1.44259e+08 1.08579e+08
-1.45326e+08 1.09535e+08
-1.46397e+08 1.10496e+08
-1.47472e+08 1.11461e+08
